name,total_time,found,error,found.num_mutations,path,source,oop_category,side_effects,opcode_count,max_vm_usage,stats.Evaluated,stats.BankSize,stats.FoundContextCount,stats.MaxMutatingOpcodes,stats.MaxDepth,stats.MaxSize,string_literals,num_literals,iterations,expected,examples_count,var_count
partition-k-largest,0.06684,"nums.sort((a, b)=>a - b).splice(-k)",,2,tasks/benchmarks/fromSobeq/must/sobeq-new/partition-k-largest.sy,https://github.com/peleghila/sobeq/blob/main/benchmarks/must/sobeq-new/partition-k-largest.sy,Primitive Objects,With Side Effects,880,28.672 MB,7687,3097,29,3,3,7,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 645646}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 52105310}, 'statistics': {'Evaluated': 563, 'BankSize': 79, 'FoundContextCount': 25, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 13530266}, 'statistics': {'Evaluated': 7124, 'BankSize': 3018, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 3, 'MaxDepth': 3, 'MaxSize': 7}}]","['nums.sort().splice(0, nums.length - k)[1]']",2,2
NegativeIndex,0.066967,str.indexOf(char) - str.length,,0,tasks/benchmarks/fromSobeq/may/sobeq-new/NegativeIndex.sy,https://github.com/peleghila/sobeq/blob/main/benchmarks/may/sobeq-new/NegativeIndex.sy,Primitive,Without Side Effects,880,29.036544 MB,10941,1911,12,1,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 517218}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 49833224}, 'statistics': {'Evaluated': 526, 'BankSize': 79, 'FoundContextCount': 8, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 16126384}, 'statistics': {'Evaluated': 10415, 'BankSize': 1832, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]",['str.indexOf(char) - str.length'],2,2
split-text-string-at-specific-charactermodified,0.067465,"_arg_0.split(""_"")[--_arg_1]",,1,tasks/benchmarks/fromSobeq/may/probe/split-text-string-at-specific-charactermodified.sy,https=//exceljet.net/formula/split-text-string-at-specific-character,Primitive,Without Side Effects,881,28.028928 MB,11020,2355,11,1,3,9,"[' ', '_', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 552997}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 51645426}, 'statistics': {'Evaluated': 771, 'BankSize': 82, 'FoundContextCount': 7, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 14933472}, 'statistics': {'Evaluated': 10249, 'BankSize': 2273, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.split('_')[_arg_1 - 1]""]",3,2
elasticsearch_convert,0.068439,"DistanceUnit.convert(distance, from, to)",,0,tasks/benchmarks/fromFrangel/github/elasticsearch_convert.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/github/ElasticSearchConvert.java,Full OOP,Without Side Effects,1185,39.03488 MB,1091,134,5,1,2,4,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 1913139}, 'statistics': {'Evaluated': 16, 'BankSize': 16, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 66347572}, 'statistics': {'Evaluated': 1075, 'BankSize': 118, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}]","['DistanceUnit.convert(distance, from, to)']",3,3
abcd,0.072366,"(a + "" "") + (c + d)",,0,tasks/benchmarks/fromFrangel/other/abcd.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/other/ABCD.java,Primitive,Without Side Effects,882,28.479488 MB,13077,2452,40,1,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 501432}, 'statistics': {'Evaluated': 8, 'BankSize': 8, 'FoundContextCount': 6, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 56367033}, 'statistics': {'Evaluated': 1238, 'BankSize': 167, 'FoundContextCount': 34, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 14976659}, 'statistics': {'Evaluated': 11839, 'BankSize': 2285, 'FoundContextCount': 6, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]",['a + b + c + d'],1,4
stackoverflow2modified,0.07348,""" "".replaceAll("""", _arg_0).substring(-1, _arg_0.lastIndexOf("" ""))",,0,tasks/benchmarks/fromSobeq/may/probe/stackoverflow2modified.sy,https=//stackoverflow.com/questions/26262269/how-to-find-all-the-strings-in-a-cell-that-contains-a-given-substring-in-excel,Primitive,Without Side Effects,879,29.10208 MB,10050,665,4,1,3,11,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 442816}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 52705682}, 'statistics': {'Evaluated': 315, 'BankSize': 32, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 19977214}, 'statistics': {'Evaluated': 9735, 'BankSize': 633, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 11}}]","[""_arg_0.slice(0, _arg_0.lastIndexOf(' '))"", ""_arg_0.split(' ').slice(0, _arg_0.split(' ').length-1).join(' ')"", ""_arg_0.split(' ').slice(0, -1).join(' ')""]",2,1
MoveFromAToB,0.074291,b.reverse().push(a.pop()),,2,tasks/benchmarks/fromSobeq/must/sobeq-new/MoveFromAToB.sy,https://github.com/peleghila/sobeq/blob/main/benchmarks/must/sobeq-new/MoveFromAToB.sy,Primitive Objects,With Side Effects,880,30.695424 MB,6267,1703,15,3,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 628956}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 53868100}, 'statistics': {'Evaluated': 463, 'BankSize': 55, 'FoundContextCount': 11, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 19262600}, 'statistics': {'Evaluated': 5804, 'BankSize': 1648, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 3, 'MaxDepth': 3, 'MaxSize': 9}}]",['b.push(a.pop())'],2,2
sypet_03_findRoots,0.07592,findRoots(func.real_coeffs()),,0,tasks/benchmarks/fromFrangel/sypet/sypet_03_findRoots.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/sypet/SyPet_03_findRoots.java,Full OOP,Without Side Effects,1532,36.880384 MB,2575,38,2,0,3,7,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 1829325}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 61290731}, 'statistics': {'Evaluated': 261, 'BankSize': 20, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 12431297}, 'statistics': {'Evaluated': 2314, 'BankSize': 18, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 3, 'MaxSize': 7}}]",['findRoots(func.real_coeffs())'],2,1
set-adddelete,0.081812,seen.add(s1).delete(s2),,2,tasks/benchmarks/fromSobeq/must/sobeq-new/set-adddelete.sy,https://github.com/peleghila/sobeq/blob/main/benchmarks/must/sobeq-new/set-adddelete.sy,Primitive Objects,With Side Effects,881,28.602368 MB,10360,2020,23,2,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 674616}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 58850416}, 'statistics': {'Evaluated': 719, 'BankSize': 93, 'FoundContextCount': 18, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 21788586}, 'statistics': {'Evaluated': 9641, 'BankSize': 1927, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 9}}]","['seen.add(s1).delete(s2)', 'seen.add(s2).delete(s1)', 'seen.add(s2), seen.delete(s1)', 'seen.add(s1), seen.delete(s2)']",3,3
RotateQueue,0.082293,queue.splice(amount).concat(queue),,1,tasks/benchmarks/fromSobeq/may/FrAngel/RotateQueue.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/controlstructures/RotateQueue.java,Primitive Objects,Possibly With Side Effects,880,29.032448 MB,13310,3432,25,3,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 554746}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 47041236}, 'statistics': {'Evaluated': 549, 'BankSize': 75, 'FoundContextCount': 21, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 34239918}, 'statistics': {'Evaluated': 12761, 'BankSize': 3357, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 3, 'MaxDepth': 3, 'MaxSize': 9}}]","['queue.slice(amount).concat(queue.slice(0, amount))', 'queue.splice(amount,queue.length).concat(queue)', 'queue.splice(amount).concat(queue)', 'queue.concat(queue.splice(0,amount))']",3,2
phone-5-longmodified,0.089532,"(_arg_0 + "" "").slice(1, _arg_0.indexOf("" ""))",,0,tasks/benchmarks/fromSobeq/may/probe/phone-5-longmodified.sy,,Primitive,Without Side Effects,880,29.097984 MB,24328,1781,5,1,3,11,"[' ', '+', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 476985}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 52450069}, 'statistics': {'Evaluated': 512, 'BankSize': 55, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 36319142}, 'statistics': {'Evaluated': 23816, 'BankSize': 1726, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 11}}]","[""_arg_0.slice(1,_arg_0.indexOf(' '))"", ""_arg_0.split(' ')[0].replace('+', '')""]",3,1
DelimitedStringConcat,0.090964,a2 + a0.join(a1),,0,tasks/benchmarks/fromSobeq/may/FrAngel/DelimitedStringConcat.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/controlstructures/DelimitedStringConcat.java,Primitive Objects,Without Side Effects,881,29.032448 MB,14209,3849,29,2,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 660496}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 59805759}, 'statistics': {'Evaluated': 776, 'BankSize': 139, 'FoundContextCount': 24, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 30063313}, 'statistics': {'Evaluated': 13433, 'BankSize': 3710, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 9}}]",['a2 + a0.join(a1)'],4,3
sypet_04_evaluate,0.091693,new SingularValueDecomposition(mat),,0,tasks/benchmarks/fromFrangel/sypet/sypet_04_evaluate.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/sypet/SyPet_04_evaluate.java,Full OOP,Without Side Effects,2504,38.68672 MB,30,19,2,0,2,2,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 28328123}, 'statistics': {'Evaluated': 8, 'BankSize': 8, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 62998105}, 'statistics': {'Evaluated': 22, 'BankSize': 11, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 2}}]",['new SingularValueDecomposition(mat)'],1,1
binary_search_tree_get,0.094689,tree.right.value,,0,tasks/benchmarks/new_ruse/binary_search_tree/binary_search_tree_get.sy,,Full OOP,Without Side Effects,1181,34.193408 MB,1421,111,4,2,3,10,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 539667}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 66004754}, 'statistics': {'Evaluated': 271, 'BankSize': 23, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 27817747}, 'statistics': {'Evaluated': 1150, 'BankSize': 88, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 10}}]",['tree.right.value'],2,1
inc_tree_values_connected_min_ops,0.098234,"tree2.inc_value(), tree3.inc_value(), tree1.inc_value()",,3,tasks/benchmarks/new_ruse/relations/inc_tree_values_connected_min_ops.sy,,Full OOP,With Side Effects,9,34.820096 MB,202,94,21,1,2,2,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 3830806}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 19343333}, 'statistics': {'Evaluated': 24, 'BankSize': 12, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}, {'time': {'secs': 0, 'nanos': 9807718}, 'statistics': {'Evaluated': 58, 'BankSize': 34, 'FoundContextCount': 8, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}, {'time': {'secs': 0, 'nanos': 16262978}, 'statistics': {'Evaluated': 112, 'BankSize': 60, 'FoundContextCount': 13, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}, {'time': {'secs': 0, 'nanos': 48638565}, 'statistics': {'Evaluated': 90, 'BankSize': 34, 'FoundContextCount': 8, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 2}}]",['tree1.inc_value(); tree2.inc_value(); tree3.inc_value()'],1,3
sypet_02_getInnerProduct,0.100513,vec2.dot(vec1),,0,tasks/benchmarks/fromFrangel/sypet/sypet_02_getInnerProduct.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/sypet/SyPet_02_getInnerProduct.java,Full OOP,Without Side Effects,2503,38.690816 MB,198,46,4,0,2,3,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 28465723}, 'statistics': {'Evaluated': 9, 'BankSize': 9, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 71761043}, 'statistics': {'Evaluated': 189, 'BankSize': 37, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 3}}]","['vec1.transpose().mmul(vec2)', 'vec1.dot(vec2)']",1,2
binary_search_tree_unlink_leaf,0.100788,tree.right.unlink_leaf(),,1,tasks/benchmarks/new_ruse/binary_search_tree/binary_search_tree_unlink_leaf.sy,,Full OOP,With Side Effects,1181,34.197504 MB,577,71,4,2,3,7,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 4408185}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 65964453}, 'statistics': {'Evaluated': 271, 'BankSize': 21, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 30159407}, 'statistics': {'Evaluated': 306, 'BankSize': 50, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 7}}]",['tree.right.unlink_leaf()'],1,1
leetcode-arraypermutation,0.107995,"ans.sort((a, b)=>a - b).concat(nums[n])",,0,tasks/benchmarks/fromSobeq/may/sobeq-new/leetcode-arraypermutation.sy,https://leetcode.com/problems/build-array-from-permutation/,Primitive Objects,With Side Effects,881,29.097984 MB,15752,5251,38,2,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 645393}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 61258370}, 'statistics': {'Evaluated': 797, 'BankSize': 112, 'FoundContextCount': 33, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 45620589}, 'statistics': {'Evaluated': 14955, 'BankSize': 5139, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 9}}]","['ans.append(nums[n]); ans', 'ans.concat(nums.splice(n,1))']",4,3
extract-nth-word-from-text-stringmodified,0.108424,"_arg_0.split("" "")[--_arg_1]",,1,tasks/benchmarks/fromSobeq/may/probe/extract-nth-word-from-text-stringmodified.sy,https=//exceljet.net/formula/extract-nth-word-from-text-string,Primitive,Without Side Effects,880,28.028928 MB,39931,2543,10,1,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 501952}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 50859351}, 'statistics': {'Evaluated': 519, 'BankSize': 58, 'FoundContextCount': 6, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 56822619}, 'statistics': {'Evaluated': 39412, 'BankSize': 2485, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.split(' ')[_arg_1 - 1]""]",3,2
leetcode-arraypermutations-mut,0.118535,"ans.sort((a, b)=>a - b).concat(nums[n])",,0,tasks/benchmarks/fromSobeq/may/sobeq-new/leetcode-arraypermutations-mut.sy,https://leetcode.com/problems/build-array-from-permutation/,Primitive Objects,With Side Effects,881,29.097984 MB,19712,6760,36,3,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 566703}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 54632078}, 'statistics': {'Evaluated': 787, 'BankSize': 108, 'FoundContextCount': 31, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 62859222}, 'statistics': {'Evaluated': 18925, 'BankSize': 6652, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 3, 'MaxDepth': 3, 'MaxSize': 9}}]","['ans.push(nums[n]); ans', 'ans.concat(nums.splice(n,1))']",4,3
set_subtree,0.119143,"tree1.right = tree2, tree2.inc_value()",,2,tasks/benchmarks/new_ruse/simple/set_subtree.sy,,Full OOP,With Side Effects,1180,36.74112 MB,1888,262,14,1,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 3574877}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 81379773}, 'statistics': {'Evaluated': 432, 'BankSize': 50, 'FoundContextCount': 10, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 33992804}, 'statistics': {'Evaluated': 1456, 'BankSize': 212, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","['tree1.right = tree2; tree2.inc_value()', 'tree2.inc_value(); tree1.right = tree2;']",1,2
rotate_queue,0.161432,inp.push(inp.shift()),,2,tasks/benchmarks/fromSobeq/must/LooPy/rotate_queue.sy,https://github.com/KasraF/SnippySynthesizer/blob/loopy/src/test/resources/frangel_control/rotate_queue.examples.json,Primitive Objects,With Side Effects,880,29.036544 MB,47903,3456,17,2,3,12,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 1549792}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 53248791}, 'statistics': {'Evaluated': 517, 'BankSize': 69, 'FoundContextCount': 13, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 106242135}, 'statistics': {'Evaluated': 47386, 'BankSize': 3387, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 12}}]",['inp.push(inp.shift())'],4,2
get_range_loopy_for,0.167397,"out.sort((a, b)=>a - b).push(i + start)",,1,tasks/benchmarks/fromSobeq/must/LooPy/get_range_loopy_for.sy,https://github.com/KasraF/SnippySynthesizer/blob/loopy/src/test/resources/frangel_control/get_range_loopy.examples.json,Primitive Objects,With Side Effects,882,31.195136 MB,42625,12336,29,2,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 1307579}, 'statistics': {'Evaluated': 8, 'BankSize': 8, 'FoundContextCount': 6, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 63220009}, 'statistics': {'Evaluated': 1153, 'BankSize': 100, 'FoundContextCount': 23, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 102381719}, 'statistics': {'Evaluated': 41472, 'BankSize': 12236, 'FoundContextCount': 6, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 9}}]",['out.push(start + i)'],5,4
sypet_08_predict,0.224343,(new LinearRegression(data)).predict(value),,0,tasks/benchmarks/fromFrangel/sypet/sypet_08_predict.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/sypet/SyPet_08_predict.java,Full OOP,Without Side Effects,3717,38.670336 MB,41934,1721,8,1,3,11,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 595707}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 91343960}, 'statistics': {'Evaluated': 349, 'BankSize': 43, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 132170648}, 'statistics': {'Evaluated': 41585, 'BankSize': 1678, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 11}}]",['linear_regression(data).predict(value)'],2,2
extract-text-between-parenthesesmodified,0.238481,"_arg_0.slice(1).slice(_arg_0.indexOf(""<""), -1)",,0,tasks/benchmarks/fromSobeq/may/probe/extract-text-between-parenthesesmodified.sy,https=//exceljet.net/formula/extract-text-between-parentheses,Primitive,Without Side Effects,881,28.028928 MB,99329,5759,6,1,3,11,"['>', ' ', '<', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 668208}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 53078112}, 'statistics': {'Evaluated': 783, 'BankSize': 89, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 184321404}, 'statistics': {'Evaluated': 98546, 'BankSize': 5670, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 11}}]","[""_arg_0.slice(1).slice(_arg_0.indexOf('<'), -1)"", ""(_arg_0.split(' ').slice(-1)[0]).replaceAll('<', '').replaceAll('>', '')""]",3,1
IsAllPositive,0.252949,"arr.sort((a, b)=>a - b)[0] > (1 / (1 + 1))",,1,tasks/benchmarks/fromSobeq/may/FrAngel/IsAllPositive.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/controlstructures/IsAllPositive.java,Primitive Objects,With Side Effects,879,29.093888 MB,57574,8285,140,3,4,15,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 531868}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 51446967}, 'statistics': {'Evaluated': 320, 'BankSize': 41, 'FoundContextCount': 9, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 165040595}, 'statistics': {'Evaluated': 46790, 'BankSize': 2989, 'FoundContextCount': 131, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 12}}, {'time': {'secs': 0, 'nanos': 35346473}, 'statistics': {'Evaluated': 10784, 'BankSize': 5296, 'FoundContextCount': 9, 'MaxMutatingOpcodes': 3, 'MaxDepth': 4, 'MaxSize': 15}}]","['0 < arr.sort((a, b)=>a - b).shift()', '0 < arr.sort((a, b)=>a - b)[0]']",3,1
